Link;Autor;Tytu³;Rodzaj;Duration;Tempo(BPM);Key;Popularity;Happiness;Danceability;Energy;Acousticness;Instrumentalness;Liveness;Speechiness;Explicit
l;Yung Lean;Bliss;hip hop;2:51;127;F Minor;54;0.89;0.68;0.81;0.05;0.0;0.13;0.04;False;
l;Brodka;Wp³aw;rock;3:19;176;A Minor;39;0.32;0.26;0.23;0.62;0.0;0.1;0.03;False;
l;Brodka;Utrata;rock;2:29;105;C#/Db Major;29;0.24;0.76;0.42;0.09;0.0;0.1;0.05;False;
l;Brodka;Hydroterapia;rock;3:51;140;G Minor;35;0.24;0.56;0.56;0.56;0;0.11;0.18;True;
l;Brodka;Horses;rock;3:59;130;D Minor;37;0.21;0.41;0.43;0.01;0.12;0.11;0.03;False;
l;Hayley Williams;My Limb;pop;2:53;145;F Minor;43;0.4;0.72;0.53;0.22;0.35;0.1;0.03;False;
l;Hayley Williams;Trigger;pop;4:06;110;C Major;42;0.11;0.57;0.28;0.77;0.0;0.15;0.03;False;
l;Hayley Williams;Sudden Desire;pop;3:08;101;G Major;46;0.42;0.56;0.39;0.23;0.0;0.11;0.08;False;
l;Hayley Williams;Creepin';pop;2:58;97;F#/Gb Minor;41;0.67;0.88;0.6;0.35;0.0;0.38;0.03;False;
l;Hayley Williams;Sugar On The Rim;pop;4:14;126;A#/Bb Minor;40;0.88;0.76;0.74;0.07;0.05;0.05;0.06;False;
l;Hayley Williams;Leave It Alone;pop;4:05;89;D Minor;43;0.44;0.57;0.34;0.57;0.45;0.13;0.04;False;
l;Hayley Williams;Inordinary;pop;4:44;130;B Minor;38;0.27;0.67;0.21;0.84;0.0;0.11;0.03;False;
l;Hayley Williams;Roses/Lotus/Violet/Iris;pop;5:21;99;B Minor;44;0.38;0.64;0.63;0.09;0.0;0.25;0.05;False;
l;Fall Out Boy;Uma Thurman;rock;3:32;150;E Minor;70;0.68;0.62;0.96;0.1;0.0;0.26;0.09;False;
l;Fall Out Boy;American Beauty/American Psycho;rock;3:16;151;D Major;54;0.64;0.49;0.93;0.01;0;0.18;0.2;False;
l;Fall Out Boy;Dance, Dance;rock;3:00;114;B Minor;80;0.45;0.62;0.96;0.01;0;0.09;0.15;False;
l;Kaiser Chiefs;Everyday I Love You Less And Less;rock;3:39;160;C#/Db Minor;46;0.5;0.49;0.95;0.01;0;0.28;0.06;False;
l;Kaiser Chiefs;I Predict A Riot;rock;3:52;159;G#/Ab Major;48;0.28;0.36;0.99;0.02;0;0.13;0.09;False;
l;Blur;Song 2 - 2012 Remaster;rock;2:01;130;G#/Ab Major;82;0.92;0.67;0.79;0.0;0.01;0.08;0.07;False;
l;Blur;The Universal - 2012 Remaster;rock;3:59;164;A Major;56;0.26;0.32;0.55;0.18;0.0;0.09;0.03;False;
l;Halestorm;Conflicted;metal;3:29;172;F Minor;36;0.54;0.51;0.6;0.36;0;0.17;0.1;False;
l;Halestorm;Skulls;metal;3:20;86;D Minor;36;0.42;0.6;0.91;0.01;0;0.17;0.06;False;
l;Halestorm;Chemicals;metal;4:22;174;D Major;27;0.45;0.48;0.82;0.0;0;0.22;0.04;False;
l;Halestorm;Uncomfortable;metal;3:41;119;C Major;45;0.3;0.53;0.98;0.0;0;0.15;0.08;True;
l;Halestorm;Bad Romance;metal;4:08;124;C#/Db Major;65;0.68;0.55;0.93;0.01;0.0;0.37;0.07;False;
l;Halestorm;Get Lucky;metal;3:09;116;A Minor;48;0.78;0.69;0.93;0.01;0.0;0.23;0.05;False;
l;Pearl Jam;Black;metal;5:43;77;E Minor;75;0.2;0.36;0.68;0.32;0;0.34;0.03;False;
l;Pearl Jam;Jeremy;metal;5:18;109;D Major;72;0.29;0.28;0.85;0.04;0;0.18;0.04;True;
l;Alice In Chains;Would? (2022 Remaster);metal;3:27;101;F#/Gb Major;76;0.59;0.3;0.83;0.0;0.0;0.09;0.04;False;
l;Faith No More;Epic;metal;4:54;174;E Minor;69;0.26;0.36;0.89;0.02;0.05;0.13;0.12;False;
l;Faith No More;Falling to Pieces;metal;5:14;104;D Major;54;0.39;0.55;0.92;0.0;0.01;0.1;0.05;False;
l;Alice In Chains;Man in the Box;metal;4:45;106;G#/Ab Major;77;0.76;0.35;0.79;0.0;0;0.1;0.05;True;
l;Ozzy Osbourne;No More Tears;rock;7:23;103;F#/Gb Major;74;0.32;0.35;0.75;0.0;0.0;0.65;0.04;False;
l;Corey Taylor;CMFT Must Be Stopped (feat. Tech N9ne and Kid Bookie);metal;5:14;101;A#/Bb Minor;46;0.51;0.57;0.99;0.0;0.0;0.32;0.05;True;
l;Corey Taylor;Culture Head;metal;3:59;147;G#/Ab Major;30;0.37;0.49;0.98;0.0;0.65;0.19;0.06;True;
l;Avenged Sevenfold;Nobody;metal;5:54;75;G Minor;59;0.21;0.41;0.7;0.0;0.0;0.3;0.04;False;
l;Avenged Sevenfold;Roman Sky;metal;5:00;130;D Minor;44;0.13;0.46;0.42;0.13;0.0;0.09;0.03;False;
l;Avenged Sevenfold;Exist;metal;15:39;130;D Minor;40;0.11;0.31;0.94;0.0;0.59;0.32;0.1;False;
l;Avenged Sevenfold;God Hates Us;metal;5:19;140;C Minor;55;0.2;0.45;0.96;0.0;0.14;0.13;0.12;True;
l;Avenged Sevenfold;Fiction;metal;5:08;120;C Major;54;0.24;0.6;0.63;0.06;0.0;0.11;0.03;False;
l;Avenged Sevenfold;Buried Alive;metal;6:44;140;A Minor;65;0.47;0.61;0.8;0.0;0;0.16;0.03;True;
l;Avenged Sevenfold;Seize the Day;metal;5:34;140;F Major;69;0.34;0.39;0.8;0.02;0;0.19;0.04;False;
l;Avenged Sevenfold;So Far Away;metal;5:27;151;E Minor;67;0.26;0.29;0.7;0.01;0.0;0.14;0.03;False;
l;Halestorm;Gonna Get Mine;metal;2:57;170;D Major;37;0.79;0.5;0.97;0.01;0.01;0.19;0.05;True;
